"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"334",1,1,5,1,3,1,0,0,1
"335",1,2,5,1,2,1,0,6,1
"336",1,1,3,1,3,1,0,0,5
"337",1,1,3,1,3,1,0,0,1
"338",1,1,5,1,3,1,0,3,1
"339",1,1,3,1,3,1,4,3,1
"340",1,2,1,1,2,1,0,8,6
"341",2,2,2,1,2,1,2,1,1
"342",2,2,2,1,2,1,0,0,1
"343",2,2,5,1,2,1,0,0,0
"344",1,1,3,1,3,1,0,3,1
"345",1,1,3,1,3,1,4,3,1
"346",1,1,3,1,3,1,0,0,1
"347",1,2,1,1,3,1,0,0,0
"348",1,2,5,1,2,1,9,1,1
"349",1,1,3,1,3,1,5,4,1
"350",1,1,5,1,3,1,7,3,1
"351",1,1,5,1,3,1,0,0,0
"352",1,1,3,1,3,1,0,0,0
"353",2,2,1,1,2,1,0,0,0
"354",2,2,2,1,2,1,0,0,0
"355",1,2,1,1,3,1,0,9,3
"356",2,2,2,1,2,1,13,1,1
"357",1,1,5,1,3,1,3,3,1
"358",2,3,4,2,1,2,0,0,0
"359",1,1,3,1,3,1,0,0,0
"360",2,3,4,1,2,1,0,0,0
"361",2,2,2,1,2,1,0,0,0
"362",1,1,5,1,3,1,0,3,1
"363",2,3,4,1,1,1,0,0,0
"364",1,1,3,1,3,1,4,3,1
"365",1,1,3,1,3,1,0,7,1
"366",2,2,2,1,2,1,13,1,1
"367",2,2,5,1,2,1,0,1,1
"368",1,1,5,1,3,1,12,3,1
"369",2,3,4,1,1,3,0,0,0
"370",1,1,5,1,3,1,0,3,1
"371",2,2,1,1,2,1,0,0,0
"372",1,1,3,1,3,1,4,3,1
"373",1,1,3,1,3,1,0,0,0
"374",1,1,5,1,2,1,0,0,0
"375",1,1,1,1,3,1,0,0,0
"376",2,2,2,1,2,1,0,0,0
"377",1,1,5,1,3,1,12,3,1
"378",1,1,3,1,3,1,0,7,1
"379",1,1,5,1,3,1,0,0,1
"380",1,1,1,1,3,1,0,0,0
"381",1,1,1,1,3,1,0,0,0
"382",2,2,1,1,2,1,0,0,0
"383",1,1,5,1,3,1,0,6,1
"384",1,1,5,1,2,1,0,3,1
"385",1,1,5,1,3,1,12,3,1
"386",1,1,3,1,3,1,4,3,1
"387",2,3,4,1,1,1,0,0,0
